utc_iso,global_sequence,cycle_index,target_index,target_nominal_mm,retreat_mm,position_measured_mm,residual_mm,sample_within_point
2026-03-28T21:37:02.308485+00:00,1,1,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:37:07.699614+00:00,2,1,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:37:17.150216+00:00,3,1,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:37:23.217987+00:00,4,1,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:37:31.815613+00:00,5,1,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:37:41.845647+00:00,6,2,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:37:47.289780+00:00,7,2,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:37:56.751120+00:00,8,2,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:38:02.816747+00:00,9,2,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:38:11.394012+00:00,10,2,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:38:21.483855+00:00,11,3,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:38:26.862571+00:00,12,3,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:38:36.252531+00:00,13,3,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:38:42.320784+00:00,14,3,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:38:50.911136+00:00,15,3,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:39:00.940631+00:00,16,4,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:39:06.316245+00:00,17,4,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:39:15.757782+00:00,18,4,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:39:21.881903+00:00,19,4,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:39:30.472909+00:00,20,4,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:39:40.536252+00:00,21,5,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:39:45.915877+00:00,22,5,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:39:55.324403+00:00,23,5,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:40:01.374393+00:00,24,5,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:40:10.014881+00:00,25,5,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:40:20.097265+00:00,26,6,0,0.0,2.5,0.0,0.0,1
